Designator,Mid X,Mid Y,Rotation,Layer
H1,82.04,-64.31,0.0,top
H2,140.04,-64.33,0.0,top
H3,82.04,-113.32,0.0,top
H4,140.03,-113.31,0.0,top
RV1,84.074,-102.0064,180.0,top
RV2,93.8022,-107.3404,180.0,top
RV3,127.9144,-108.712,90.0,top
U2,130.4036,-93.5736,-90.0,top
U3,109.728,-105.029,90.0,top
J1,83.0326,-69.4182,0.0,top
Q1,88.1126,-69.4182,-90.0,top
R1,100.8126,-69.4182,180.0,top
R2,93.1926,-71.9582,0.0,top
R3,111.506,-71.12,180.0,top
U5,103.9368,-89.9668,180.0,top
U4,119.38,-78.74,90.0,top
C1,140.9446,-69.4944,-90.0,top
C2,140.9446,-81.9404,90.0,top
J2,140.7668,-103.6828,0.0,top
R4,102.4636,-76.9112,0.0,top
R5,135.382,-114.554,180.0,top
Q2,134.1882,-107.0102,0.0,top
FID1,92.0242,-101.7524,0.0,top
FID2,87.1982,-113.7666,0.0,top
FID3,119.38,-114.046,0.0,top
C3,109.601,-82.6516,-90.0,top
JP1,87.63,-75.7174,90.0,top
R6,93.218,-74.2696,0.0,top
R8,115.6716,-77.4446,-90.0,top
U6,114.427,-90.7542,90.0,top
R7,113.411,-77.4446,-90.0,top
U1,89.6874,-88.646,0.0,top
C4,125.75286,-82.28584,180.0,top
C5,121.65976,-83.01228,0.0,top
C6,118.3894,-87.3506,0.0,top
J3,86.92,-65.59,-90.0,bottom
